SRR36972294_.bam	SRR36972295_.bam	SRR36972296_.bam	SRR36972297_.bam	SRR36972298_.bam	SRR36972299_.bam	SRR36972300_.bam	SRR36972301_.bam	SRR36972302_.bam
Actinidia01459	831	1280	1275	1360	1219	1493	787	795	1040
Actinidia01458	18	17	24	32	16	10	34	68	46
Actinidia01457	141	128	154	110	139	83	527	476	555
Actinidia01456	10	4	3	11	3	7	4	19	10
Actinidia01455	0	0	0	0	0	0	0	0	1
Actinidia01454	0	2	1	0	2	0	48	66	65
Actinidia01453	162	33	28	29	24	33	39	39	42
Actinidia01452	10	3	5	5	2	1	2	1	3
Actinidia01451	0	0	0	0	0	0	0	0	0
Actinidia01450	10	7	8	2	0	4	2	0	1
Actinidia01449	146	105	168	125	174	90	328	432	360
Actinidia01448	615	262	318	283	244	334	379	423	264
Actinidia01447	1242	671	627	609	235	760	555	710	545
Actinidia01446	80	33	29	140	128	90	770	706	655
Actinidia01445	23038	53448	45633	8644	6794	5614	9262	8841	17629
Actinidia01444	0	1	6	3	0	1	2	1	2
Actinidia01443	1	4	1	5	2	5	2	3	1
Actinidia26834	2	0	9	9	12	2	11	71	22
Actinidia26835	6	5	4	1	1	0	0	4	2
Actinidia26836	0	8	3	0	0	0	0	0	1
Actinidia26837	70	29	37	187	107	365	74	246	44
Actinidia26838	0	0	0	0	0	0	2	0	0
Actinidia26839	167	230	234	104	151	121	490	636	771
Actinidia26840	365	514	508	561	493	579	380	343	485
Actinidia26841	3	2	0	15	0	20	32	22	17
Actinidia26842	73	66	94	84	55	89	71	63	82
Actinidia26843	66	19	53	1	4	1	56	50	55
Actinidia26844	1505	2239	2769	2399	2300	2343	1568	1436	2092
Actinidia26845	103678	47339	40931	2635	1691	2333	1053	1063	1012
Actinidia26846	83	49	53	56	50	21	6	6	1
Actinidia26847	366	763	853	308	197	196	220	216	202
Actinidia26848	0	3	1	3	10	19	0	1	0
Actinidia26849	2	1	3	54	54	24	0	3	3
Actinidia26850	519	461	522	2729	1692	3806	213	444	236
Actinidia26851	43	7	14	27	37	43	45	55	24
Actinidia26852	0	1	3	0	0	0	0	0	0
Actinidia26853	1	21	7	0	0	0	0	0	0
Actinidia26854	0	0	0	11	8	5	62	101	62
Actinidia26855	493	873	940	928	917	847	601	762	635
Actinidia26856	0	32	22	0	1	4	0	2	3
Actinidia26857	82	87	61	72	94	71	67	73	80
Actinidia26858	86	56	52	70	69	93	95	91	78
Actinidia26859	568	556	520	430	253	423	391	446	479
Actinidia26860	66	141	124	103	90	96	141	114	75
Actinidia26861	23	36	32	4	9	1	13	24	12
Actinidia26862	43	74	56	4	8	4	60	85	27
Actinidia26863	6	9	8	2	2	7	13	13	4
Actinidia26864	19	32	37	18	8	11	4	9	4
Actinidia26865	90	160	216	87	102	88	52	37	67
Actinidia26866	60	96	97	83	85	72	208	168	109
Actinidia26867	1	4	0	18	20	18	4	48	0
Actinidia26868	4	26	10	17	23	19	22	23	9
Actinidia26869	289	185	149	104	89	60	204	224	194
Actinidia26870	33	48	38	107	138	87	39	63	21
Actinidia26871	135	215	208	137	213	117	194	299	268
Actinidia26872	18	92	51	66	46	102	14	39	8
Actinidia26873	0	0	2	0	3	1	1	0	5
Actinidia26874	4	0	0	13	9	12	2	6	3
Actinidia26875	17	1	10	0	0	0	10	3	7
Actinidia26876	0	0	0	0	0	0	0	0	0
Actinidia26877	2236	2051	2150	2031	2744	861	2634	2409	4527
Actinidia26878	121	17	26	46	58	72	55	100	56
Actinidia26879	163	218	190	211	203	200	69	78	43
Actinidia26880	132	819	1159	208	570	349	1543	3014	1783
Actinidia26881	0	1	5	7	9	6	1	2	5
Actinidia26882	23	135	113	33	48	45	13	20	10
Actinidia26883	22	11	15	19	7	29	53	57	75
Actinidia26884	834	890	879	708	871	841	596	725	647
Actinidia26885	704	260	272	499	489	412	355	377	287
Actinidia26886	3	1	0	0	0	0	80	38	19
Actinidia26887	11	0	3	2	0	1	1	0	0
Actinidia26888	7	0	1	0	0	1	2	1	1
Actinidia26889	8362	3675	5207	3786	6015	3376	5143	7875	7169
Actinidia26890	757	107	203	310	364	473	422	739	499
Actinidia26891	12	7	11	4	1	9	6	8	6
Actinidia26892	32	52	54	93	102	49	329	379	277
Actinidia26893	380	376	182	10	2	9	1	0	0
Actinidia26894	0	0	0	0	0	0	0	0	0
Actinidia26895	447	511	948	238	145	94	348	478	419
Actinidia26896	213	271	526	92	120	43	119	130	142
Actinidia26897	2	1	0	1	0	0	12	2	12
Actinidia26898	1	1	7	0	0	0	0	0	0
Actinidia26899	1	1	5	0	0	0	0	0	1
Actinidia26900	0	0	0	0	0	0	1	0	0
Actinidia26901	0	3	8	0	0	0	0	0	0
Actinidia26902	4053	3835	4647	1705	2796	1739	4434	4384	6412
Actinidia26903	206	4	0	3	0	13	3	0	5
Actinidia26904	0	0	0	0	0	0	0	0	0
Actinidia26905	458	590	412	322	294	295	111	235	176
Actinidia26906	69	147	173	834	732	302	13	41	27
Actinidia26907	2	1	0	6	4	0	0	0	0
Actinidia26908	0	0	0	0	0	0	0	0	0
Actinidia26909	3	14	8	44	33	21	0	0	0
Actinidia26910	2897	5808	5504	8524	9934	8341	991	994	961
Actinidia26911	53	23	33	20	16	15	50	115	37
Actinidia26912	57	44	40	18	6	28	77	105	56
Actinidia26913	1	1	0	1	1	0	1	1	0
Actinidia26914	8	7	13	21	16	31	17	29	13
Actinidia26915	12	3	4	31	7	12	2638	3952	2073
Actinidia26916	0	0	0	0	0	1	3	0	0
Actinidia26917	6	7	9	9	7	16	1	0	0
Actinidia26918	5	3	0	0	0	0	2	1	2
Actinidia26919	133	92	95	60	70	54	121	156	49
Actinidia26920	218	2	0	8	0	9	7	4	6
Actinidia26921	177	278	218	268	270	259	202	214	196
Actinidia26922	220	291	220	291	181	260	221	249	198
Actinidia26923	148	106	127	96	76	116	239	300	204
Actinidia26924	3	0	0	0	0	0	0	0	0
Actinidia26925	426	664	591	548	528	567	685	805	673
Actinidia26926	387	322	319	171	181	220	275	347	298
Actinidia26927	0	0	0	0	2	3	0	1	0
Actinidia26928	802	608	561	758	512	722	273	284	269
Actinidia26929	1662	1289	1123	1707	1744	1706	537	598	459
Actinidia26930	0	0	0	0	0	0	0	0	0
Actinidia26931	567	844	845	1467	901	1462	512	713	539
Actinidia26932	173	325	403	774	733	651	261	377	306
Actinidia26933	322	235	225	336	172	287	123	149	97
Actinidia26934	1746	1423	1403	1861	1989	1898	717	735	648
Actinidia26935	4	0	0	0	0	0	0	1	1
Actinidia26936	15	4	3	3	8	3	2	2	3
Actinidia26937	0	0	0	0	0	0	0	0	0
Actinidia26938	81	61	65	68	51	63	41	46	30
Actinidia26939	291	178	148	276	205	289	165	183	143
Actinidia26940	6	3	2	3	2	6	5	11	0
Actinidia26941	1	0	0	0	0	0	0	0	0
Actinidia26942	0	0	0	0	0	0	0	0	0
Actinidia26943	0	0	0	0	0	0	0	0	0
Actinidia26944	0	0	0	0	0	0	1	0	0
Actinidia26945	0	0	0	0	0	0	2	3	1
Actinidia26946	15	0	2	1	0	0	5	18	12
Actinidia26947	281	382	443	612	637	532	602	656	539
Actinidia26948	17	5	3	4	8	20	14	37	12
Actinidia26949	87	235	223	212	260	172	59	78	85
Actinidia26950	314	615	550	568	430	502	186	284	413
Actinidia26951	235	308	343	356	285	405	162	203	266
Actinidia26952	5	7	7	0	0	0	0	0	3
Actinidia26953	21	17	23	12	11	16	11	6	4
Actinidia26954	360	406	404	502	436	563	487	567	481
Actinidia26955	0	0	1	1	3	3	5	4	7
Actinidia26956	0	6	0	2	1	2	0	0	0
Actinidia26957	3	14	2	5	1	2	0	2	0
Actinidia26958	1	12	20	3	7	6	1	1	2
Actinidia26959	31	28	19	77	75	74	91	173	61
Actinidia26960	7	7	0	11	31	9	13	18	22
Actinidia26961	26	18	25	35	12	48	28	33	14
Actinidia26962	293	190	215	346	324	350	231	424	276
Actinidia26963	50	80	66	12	6	9	11	12	11
Actinidia26964	15	12	14	21	26	12	33	35	23
Actinidia26965	4	10	2	17	8	9	23	25	13
Actinidia26966	102	1300	1256	108	52	42	94	90	121
Actinidia26967	4	3	6	1	0	0	7	15	13
Actinidia26968	83	48	51	51	137	62	63	60	52
Actinidia26969	29	56	31	40	36	27	20	25	17
Actinidia26970	218	62	51	28	11	33	21	13	28
Actinidia26971	479	304	228	690	718	439	129	99	127
Actinidia26972	0	11	9	0	0	0	2	3	1
Actinidia26973	44	39	32	10	21	13	22	34	21
Actinidia26974	0	0	0	0	0	0	0	0	0
Actinidia26975	0	0	27	0	1	0	1	1	0
Actinidia26976	3	2	10	2	0	3	0	1	0
Actinidia26977	0	1	3	0	0	1	0	0	0
Actinidia26978	0	0	0	0	0	0	0	0	0
Actinidia26979	3	0	10	1	4	0	2	3	1
Actinidia26980	0	0	3	0	0	1	0	0	0
Actinidia26981	11	20	4	3	7	0	34	41	38
Actinidia26982	58	52	63	52	25	37	50	119	87
Actinidia26983	12	28	21	12	13	4	18	20	16
Actinidia26984	0	19	10	0	0	1	0	0	0
Actinidia26985	0	1	2	0	0	0	0	0	0
Actinidia26986	32	41	34	47	34	37	53	83	39
Actinidia26987	0	0	0	0	1	0	0	0	0
Actinidia26988	2	5	5	7	4	9	1	12	9
Actinidia26989	57	129	104	128	113	111	94	165	94
Actinidia26990	248	195	545	173	114	196	10	28	30
Actinidia26991	8	6	9	9	6	12	7	4	5
Actinidia26992	0	2	1	0	0	0	10	12	14
Actinidia26993	3	0	2	0	1	7	3	12	12
Actinidia26994	38	50	75	3	9	2	207	415	158
Actinidia26995	0	0	0	0	0	0	0	0	2
Actinidia26996	158	38	161	33	20	46	187	177	61
Actinidia26997	1	2	0	908	381	928	56	17	18
Actinidia26998	0	0	0	13	5	11	0	1	0
Actinidia26999	120	139	157	124	111	83	149	182	136
Actinidia27000	20	100	104	111	97	100	36	77	34
Actinidia01937	317	534	459	519	535	579	280	310	254
Actinidia01936	0	2	0	1	0	1	0	0	0
Actinidia01935	49	54	63	37	34	31	24	101	36
Actinidia01934	184	232	227	344	411	357	151	237	132
Actinidia01933	305	363	326	627	324	582	290	303	374
Actinidia01932	1229	692	737	846	635	768	447	471	493
Actinidia01931	81	131	202	2	6	2	304	207	296
Actinidia01930	8434	3303	3271	1989	1278	2009	2733	2386	3128
Actinidia01929	770	615	822	214	425	293	1260	1373	1106
Actinidia01928	19	53	55	22	23	38	257	218	255
Actinidia01927	9	46	34	68	86	46	328	233	201
Actinidia01926	2	0	0	0	0	0	0	0	0
Actinidia01925	106	390	479	151	133	153	206	265	212
Actinidia01924	22	46	95	15	12	9	8	5	3
Actinidia01923	1913	3423	2459	290	318	465	781	823	458
Actinidia01922	577	1119	1708	560	812	645	2026	1824	2243
Actinidia01921	482	726	779	452	346	426	202	264	270
Actinidia01920	97	133	139	8	9	29	0	0	2
Actinidia01919	197	1075	673	129	118	73	6	4	16
Actinidia01918	388	469	442	454	448	502	485	561	494
Actinidia01917	106	107	83	120	18	112	44	40	55
Actinidia01916	38	25	27	34	25	35	24	16	15
Actinidia01915	93	70	59	81	81	106	45	42	55
Actinidia01914	61	52	46	56	71	75	28	22	25
Actinidia01913	0	0	0	0	0	0	0	0	0
Actinidia01912	2630	467	550	367	298	607	25	126	29
Actinidia01911	1050	734	745	147	77	96	469	620	284
Actinidia01910	0	0	0	0	4	0	0	0	0
Actinidia01909	0	5	0	0	0	0	0	0	0
Actinidia01908	0	5	2	0	0	0	0	0	0
Actinidia01907	0	6	0	0	0	0	0	0	0
Actinidia01906	5	9	12	2	99	1	5	8	20
Actinidia01905	3	0	5	1	0	0	0	0	1
Actinidia01904	0	0	0	0	0	0	0	0	0
Actinidia01903	3	4	43	17	268	11	8	12	20
Actinidia01902	4	4	12	3	77	4	1	6	10
Actinidia01901	1026	486	581	606	645	742	824	866	836
Actinidia01900	13	3	34	2	2	7	22	22	17
Actinidia01899	39	16	22	31	29	29	12	17	14
Actinidia01898	0	0	0	0	0	0	0	0	0
Actinidia01897	184	190	148	239	83	356	66	45	64
Actinidia01896	41	44	24	52	22	74	8	9	10
Actinidia01895	291	311	266	429	321	507	91	67	93
Actinidia01894	12546	4740	4998	2541	2718	2412	5647	5052	6123
Actinidia01893	800	591	583	355	233	417	559	675	595
Actinidia01892	586	654	666	521	478	408	454	613	549
Actinidia01891	274	257	289	172	191	201	88	188	162
Actinidia01890	10	40	30	5	0	4	10	27	10
Actinidia01889	0	0	0	1	0	0	0	5	1
Actinidia01888	8	7	6	1	0	0	0	5	0
Actinidia01887	2	3	0	10	15	6	40	134	49
Actinidia01886	663	680	652	446	369	289	493	698	464
Actinidia01885	25	19	8	18	21	15	27	31	16
Actinidia01884	1302	1322	1400	1838	1320	2747	1502	1752	1612
Actinidia01883	7	1	4	2	4	2	1	4	1
Actinidia01882	10	18	13	27	24	21	32	30	24
Actinidia01881	31	24	33	15	10	20	22	20	5
Actinidia01880	180	3054	5078	51	74	92	56	103	81
Actinidia01879	0	0	0	0	0	0	0	0	0
Actinidia01878	17	1	6	1	5	3	11	5	2
Actinidia01877	1	0	0	0	1	0	0	0	0
Actinidia01876	52	74	100	121	120	154	24	21	8
Actinidia01875	3	2	0	0	5	0	2	1	3
Actinidia16554	0	0	0	0	4	0	0	0	0
Actinidia16555	806	383	331	1173	1205	1356	862	965	807
Actinidia16556	0	0	0	0	0	0	0	0	0
Actinidia16557	0	0	0	0	3	13	0	0	0
Actinidia16558	23	4	18	4	4	5	19	80	24
Actinidia16559	33	16	31	11	23	17	35	149	46
Actinidia16560	604	507	581	864	1356	784	595	708	737
Actinidia16561	5	2	1	8	4	7	2	0	2
Actinidia16562	0	2	0	3	1	1	0	2	6
Actinidia16563	3	2	1	4	1	1	5	0	0
Actinidia16564	16	15	10	29	20	16	210	253	222
Actinidia16565	35	8	21	39	21	21	55	69	70
Actinidia16566	238	415	353	180	215	186	153	204	126
Actinidia16567	3	1	0	1	1	0	0	1	0
Actinidia16568	101	31	27	67	64	92	33	36	22
Actinidia16569	1	3	0	14	14	28	2	5	2
Actinidia16570	0	1	0	3	5	1	4	7	7
Actinidia16571	1	2	1	2	1	4	25	26	21
Actinidia16572	65	128	112	114	90	108	157	262	184
Actinidia16573	52	606	317	170	93	79	38	62	112
Actinidia16574	12	24	17	5	11	4	12	9	11
Actinidia16575	264	116	94	96	68	111	68	65	70
Actinidia16576	0	0	0	0	0	0	0	0	0
Actinidia16577	12	0	0	0	0	0	3	0	0
Actinidia16578	0	0	0	0	0	0	0	0	0
Actinidia16579	0	0	0	0	0	0	0	0	0
Actinidia16580	0	0	0	0	0	0	0	0	0
Actinidia23667	2210	1254	1347	1176	872	1347	756	754	685
Actinidia23666	4	2	1	0	0	1	3	0	0
Actinidia23665	0	4	0	0	0	0	0	0	0
Actinidia23664	0	0	0	0	0	0	0	0	0
Actinidia23663	0	7	1	1	1	2	0	2	7
Actinidia23662	0	0	0	0	0	0	3	14	3
